
=== QOFENO PLATFORM TOOL DISCOVERY (92 TOOLS FOUND) ===

| Slug                           | Name                           | Category             | Free  | Wired | Has Func | Status          |
| mov-converter                  | Mov Converter                  | Video Tools          | true  | Yes   | Yes      | Working         |
| mp3-converter                  | Mp3 Converter                  | Audio Tools          | true  | Yes   | Yes      | Working         |
| mp4-converter                  | Mp4 Converter                  | Video Tools          | true  | Yes   | Yes      | Working         |
| ogg-converter                  | Ogg Converter                  | Audio Tools          | true  | Yes   | Yes      | Working         |
| pdf-booklet-creator            | PDF Booklet Creator            | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-color-converter            | PDF Color Converter            | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-compare                    | PDF Compare                    | PDF & Documents      | false | Yes   | Yes      | Working         |
| pdf-compressor                 | PDF Compressor                 | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-crop                       | PDF Crop                       | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-delete-pages               | PDF Delete Pages               | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-extract-pages              | PDF Extract Pages              | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-flatten                    | PDF Flatten                    | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-form-creator               | PDF Form Creator               | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-form-filler                | PDF Form Filler                | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-grayscale                  | PDF Grayscale                  | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-header-footer              | PDF Header Footer              | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-merger                     | PDF Merger                     | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-metadata-editor            | PDF Metadata Editor            | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-metadata-viewer            | PDF Metadata Viewer            | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-ocr                        | PDF OCR                        | PDF & Documents      | false | Yes   | Yes      | Working         |
| pdf-page-extractor-bulk        | PDF Page Extractor Bulk        | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-page-number-customizer     | PDF Page Number Customizer     | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-page-numbers               | PDF Page Numbers               | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-portfolio-creator          | PDF Portfolio Creator          | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-protect                    | PDF Protect                    | PDF & Documents      | false | Yes   | Yes      | Working         |
| pdf-redact                     | PDF Redact                     | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-reorder-pages              | PDF Reorder Pages              | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-repair                     | PDF Repair                     | PDF & Documents      | false | Yes   | Yes      | Working         |
| pdf-resize                     | PDF Resize                     | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-rotate                     | PDF Rotate                     | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-sign                       | PDF Sign                       | PDF & Documents      | false | Yes   | Yes      | Working         |
| pdf-splitter                   | PDF Splitter                   | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-thumbnail                  | PDF Thumbnail                  | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-to-excel                   | PDF To Excel                   | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-to-html                    | PDF To HTML                    | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-to-jpg                     | PDF To JPG                     | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-to-powerpoint              | PDF To Powerpoint              | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-to-text                    | PDF To Text                    | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-to-word                    | PDF To Word                    | PDF & Documents      | true  | Yes   | Yes      | Working         |
| pdf-unlock                     | PDF Unlock                     | PDF & Documents      | false | Yes   | Yes      | Working         |
| pdf-watermark                  | PDF Watermark                  | PDF & Documents      | false | Yes   | Yes      | Working         |
| pdf-word-count                 | PDF Word Count                 | PDF & Documents      | true  | Yes   | Yes      | Working         |
| powerpoint-to-pdf              | Powerpoint To PDF              | PDF & Documents      | true  | Yes   | Yes      | Working         |
| remove-audio                   | Remove Audio                   | Video Tools          | true  | Yes   | Yes      | Working         |
| ringtone-maker                 | Ringtone Maker                 | Audio Tools          | true  | Yes   | Yes      | Working         |
| rotate-image                   | Rotate Image                   | Image Tools          | true  | Yes   | Yes      | Working         |
| rotate-video                   | Rotate Video                   | Video Tools          | true  | Yes   | Yes      | Working         |
| sharpen-image                  | Sharpen Image                  | Image Tools          | true  | Yes   | Yes      | Working         |
| silence-remover                | Silence Remover                | Video Tools          | true  | Yes   | Yes      | Working         |
| speed-changer-video            | Speed Changer Video            | Video Tools          | true  | Yes   | Yes      | Working         |
| text-case-converter            | Text Case Converter            | Developer Tools      | true  | No    | Yes      | Working         |
| trim-audio                     | Trim Audio                     | Audio Tools          | true  | Yes   | Yes      | Working         |
| video-compressor               | Video Compressor               | Video Tools          | true  | Yes   | Yes      | Working         |
| video-trimmer                  | Video Trimmer                  | Video Tools          | true  | Yes   | Yes      | Working         |
| volume-booster                 | Volume Booster                 | Audio Tools          | true  | Yes   | Yes      | Working         |
| watermark-image                | Watermark Image                | Image Tools          | false | Yes   | Yes      | Working         |
| wav-converter                  | Wav Converter                  | Audio Tools          | true  | Yes   | Yes      | Working         |
| webm-converter                 | Webm Converter                 | Video Tools          | true  | Yes   | Yes      | Working         |
| word-counter                   | Word Counter                   | PDF & Documents      | true  | No    | Yes      | Working         |
| word-to-pdf                    | Word To PDF                    | PDF & Documents      | true  | Yes   | Yes      | Working         |

=======================================================

